P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.57,1119.45,284.26,0.3151480386,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.54,1122.26,268.31,0.2929699758,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.9,1114.65,303.86,0.4190833312,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,1.05,1116.49,273.69,0.4445637018,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.66,1107.16,277.61,0.3594054627,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.59,1110.39,300.3,0.3132467003,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.83,1107.54,297.78,0.4063703468,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.86,1109.37,308.29,0.4113198526,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.71,1105.02,313.74,0.3707373516,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.8,1119.73,291.9,0.4112636771,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.79,1106.44,276.51,0.4055824572,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.94,1111.93,310.71,0.4230227967,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.62,1117.22,287.93,0.3464727809,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.73,1123.36,281.43,0.3984351431,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.95,1117.92,264.95,0.43416297,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.5,1111.34,268.74,0.2370406612,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,1,1113.99,304.89,0.4306086478,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.98,1104.28,317.22,0.4242805314,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.69,1112.64,294.76,0.36844216,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1123.52,22339370.33,2.8,18.6,293.67,0.76,1120.99,285.86,0.406144456,3463500.3318202,1446242.63240363,822177.262214367,33825.310108429,39629476.89539,8233003.81818998,7875293.72526733,53159734.6926363,20416396.8721832,0.4424623164
20000000,1275.13,23263271.13,3.37,18.73,206.38,1.03,1264.85,303.13,0.5162897709,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.99,1255.94,282.58,0.5197629625,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.78,1263.19,267.9,0.5068012854,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.87,1267.89,299.1,0.5088326767,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.65,1273.98,273.04,0.492284256,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.85,1258.95,292.01,0.5085055107,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.77,1260.11,294.89,0.4949767761,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.63,1256.56,307.27,0.4699787931,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.52,1272.07,296.68,0.4490546727,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
20000000,1275.13,23263271.13,3.37,18.73,206.38,0.96,1265.58,286.61,0.522197412,3309144.91785203,841278.405773081,1782402.27099969,15531.5297095269,37320142.8723319,7095551.72680489,6703411.79359425,44520218.477273,17408593.5479726,0.5283257845
