P_net,T_in_ref_blk,p_high,PR,Pinch_PHX,dTemp_HTF_PHX,load,T_HTF_in,T_amb_input,eta_gross,eta_Q,UA_HTR,UA_LTR,UA_PHX,UA_cooler,W_turb_des,W_comp_des,W_recomp_des,Q_HX_des,C_PB,eta_cycle_des
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.67,1235.08,290.65,0.4708196981,0.9800192757,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.51,1239.54,310.09,0.4102922204,0.9307474497,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.7,1233.32,250.81,0.4766127573,0.9764817636,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.94,1238.39,260.67,0.5024060111,0.9894636228,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.75,1237.53,296.3,0.4749184043,0.9726751734,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.96,1234.72,302.95,0.4937865532,0.9896619641,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.8,1243.15,322.91,0.4829754209,0.9789951709,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,1.04,1227.23,256.09,0.5049760231,0.9938258251,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.78,1241.73,264.95,0.489095495,0.9768271845,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,1,1230.75,314.63,0.4951005158,0.9918615544,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.88,1223.36,279.52,0.4925509949,0.979589193,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.55,1224.92,283.35,0.4294264283,0.9390572233,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.85,1225.45,293.51,0.4847679335,0.97812824,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.82,1228.45,270.61,0.488813221,0.9765949151,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
20000000,1243.27,22707266.48,2.98,23.67,238.45,0.65,1243.38,268.04,0.4724357208,0.9805953617,3645866.93219384,1027468.55318515,1052078.74105105,21939.6952451337,36864923.8826348,6842127.90107567,6501616.62962644,46266293.7269917,18320945.3261615,0.508386937
